Kanton,Verbrauchsprofile typischer Haushalte,Periode,Produkt,Total exkl. MWST,Netznutzung,Energielieferungkosten,Abgaben an das Gemeinwesen,Förderabgaben (KEV)
Basel-Landschaft,H2,2011,Günstigstes Produkt,23.44,10.907657,11.645943,0.43,0.45
Aargau,H8,2011,Günstigstes Produkt,16.89,7.975333,8.032726,0.43232,0.45
Tessin,C6,2012,Günstigstes Produkt,16.24,5.8551335,7.9471664,1.07,0.45
Aargau,H8,2013,Günstigstes Produkt,16.96,7.515333,8.512205,0.43232,0.45
Aargau,H8,2012,Günstigstes Produkt,16.58,7.6653333,8.032726,0.43232,0.45
Genf,H8,2012,Günstigstes Produkt,18.46,6.8628697,10.082965,1.07016,0.45
Genf,H4,2012,Günstigstes Produkt,18.46,6.862159,10.081921,1.07016,0.45
Luzern,C5,2011,Günstigstes Produkt,14.46,5.6735,7.9064665,0.42525,0.45
Genf,H8,2013,Günstigstes Produkt,17.82,6.8628697,9.437607,1.07016,0.45
Genf,H4,2013,Günstigstes Produkt,17.82,6.862159,9.436651,1.07016,0.45
Genf,C3,2012,Günstigstes Produkt,18.32,6.8464165,9.954787,1.0686,0.45
Waadt,C5,2012,Günstigstes Produkt,22.19,9.231307,10.661226,1.85,0.45
Genf,C3,2013,Günstigstes Produkt,17.85,6.8464165,9.475051,1.0686,0.45
Waadt,C5,2011,Günstigstes Produkt,23.26,9.5413065,11.424133,1.85,0.45
Freiburg,C2,2011,Günstigstes Produkt,20.46,10.407558,9.599477,0.0,0.45
Wallis,H1,2011,Günstigstes Produkt,24.02,12.445,10.6,1.07,0.45
Tessin,C6,2011,Günstigstes Produkt,16.06,6.9366665,7.613333,1.07,0.45
Freiburg,C1,2012,Günstigstes Produkt,20.04,10.099222,9.487506,0.0,0.45
Tessin,C6,2013,Günstigstes Produkt,15.78,5.4513335,8.0176,1.07,0.45
Basel-Landschaft,C3,2012,Günstigstes Produkt,18.15,8.021334,9.242666,0.44,0.45
Aargau,C3,2012,Günstigstes Produkt,16.71,7.4413333,8.399583,0.42,0.45
Aargau,H6,2013,Günstigstes Produkt,12.65,4.7054944,7.2331243,0.42,0.45
Freiburg,C1,2013,Günstigstes Produkt,19.8,9.85711,9.494427,0.0,0.45
Aargau,C2,2013,Günstigstes Produkt,17.11,7.0572,9.057662,0.42,0.45
Aargau,H5,2012,Günstigstes Produkt,15.51,7.131067,7.527081,0.42,0.45
Aargau,C3,2013,Günstigstes Produkt,16.87,7.291333,8.70625,0.42,0.45
Freiburg,H2,2012,Günstigstes Produkt,21.64,12.18576,8.99552,0.0,0.45
Aargau,H7,2012,Günstigstes Produkt,14.75,6.5148244,7.434758,0.42,0.45
Obwalden,H8,2011,Günstigstes Produkt,20.16,10.718036,8.991111,0.0,0.45
Aargau,C4,2013,Günstigstes Produkt,16.04,6.463267,8.409977,0.42,0.45
Jura,H7,2013,Günstigstes Produkt,17.32,7.274904,8.51823,1.08,0.45
Genf,H7,2011,Günstigstes Produkt,17.52,6.8943734,9.106726,1.07484,0.45
Aargau,H7,2013,Günstigstes Produkt,15.12,6.3648243,7.9455547,0.42,0.45
Schaffhausen,C1,2013,Günstigstes Produkt,21.49,11.635,9.40835,0.0,0.45
Appenzell Innerrhoden,C5,2011,Günstigstes Produkt,13.28,5.426,7.39605,0.0,0.45
Schaffhausen,C7,2012,Günstigstes Produkt,11.49,3.6354427,7.397434,0.0,0.45
Basel-Landschaft,H3,2012,Günstigstes Produkt,17.01,7.549238,8.5931425,0.42,0.45
Schaffhausen,C7,2011,Günstigstes Produkt,11.34,3.4889615,7.397434,0.0,0.45
Aargau,C2,2012,Günstigstes Produkt,16.79,7.2072,8.73485,0.42,0.45
Bern,H7,2013,Günstigstes Produkt,17.32,7.0229807,8.51823,1.08,0.45
Appenzell Ausserrhoden,H2,2012,Günstigstes Produkt,19.73,11.788571,7.489714,0.0,0.45
Schaffhausen,C2,2012,Günstigstes Produkt,18.28,8.56305,9.265435,0.0,0.45
Neuenburg,C7,2012,Günstigstes Produkt,15.24,4.3460455,8.536308,1.9,0.45
Neuenburg,H7,2012,Günstigstes Produkt,20.04,8.605336,9.776786,1.9,0.45
Neuenburg,C6,2011,Günstigstes Produkt,17.21,5.4394584,9.420177,1.9,0.45
Appenzell Innerrhoden,H2,2012,Günstigstes Produkt,21.54,13.608,7.4805713,0.0,0.45
Neuenburg,C4,2012,Günstigstes Produkt,20.115002,8.530154,9.326654,1.9,0.45
Luzern,H4,2012,Günstigstes Produkt,22.06,10.442,10.134666,1.0442,0.45
Neuenburg,H8,2013,Günstigstes Produkt,21.17,9.145392,9.6687765,1.9,0.45
Appenzell Innerrhoden,C1,2013,Günstigstes Produkt,19.09,9.367812,9.26625,0.0,0.45
Neuenburg,H3,2013,Günstigstes Produkt,19.75,8.979428,8.416476,1.9,0.45
Appenzell Innerrhoden,H8,2012,Günstigstes Produkt,17.01,9.040119,7.520091,0.0,0.45
Obwalden,H4,2011,Günstigstes Produkt,21.73,11.996933,9.278167,0.0,0.45
Neuenburg,C2,2013,Günstigstes Produkt,20.84,9.00347,9.492098,1.9,0.45
Appenzell Innerrhoden,H4,2012,Günstigstes Produkt,18.4,10.426666,7.52,0.0,0.45
Neuenburg,H6,2013,Günstigstes Produkt,15.17,5.6095524,7.214386,1.9,0.45
Appenzell Ausserrhoden,C2,2013,Günstigstes Produkt,16.46,6.7295485,9.276308,0.0,0.45
Neuenburg,C3,2012,Günstigstes Produkt,21.48,9.3474,9.782486,1.9,0.45
Wallis,C7,2013,Günstigstes Produkt,13.11,4.129226,7.9579735,0.4577668,0.45
Neuenburg,C2,2012,Günstigstes Produkt,23.19,10.97084,10.11749,1.9,0.45
Basel-Landschaft,H8,2013,Günstigstes Produkt,19.24,8.04125,10.3,0.45,0.45
Basel-Landschaft,C3,2013,Günstigstes Produkt,17.59,7.9513335,8.742084,0.45,0.45
Neuenburg,H1,2012,Günstigstes Produkt,28.2,14.25,11.56125,1.9,0.45
Luzern,H2,2013,Günstigstes Produkt,20.11,9.4824,9.0672,1.05,0.45
Neuenburg,H4,2013,Günstigstes Produkt,22.23,10.211276,9.667981,1.9,0.45
Wallis,H1,2012,Günstigstes Produkt,23.14,11.335,10.6,1.06,0.45
Neuenburg,C6,2013,Günstigstes Produkt,15.14,4.542882,8.2536955,1.9,0.45
Uri,H1,2013,Günstigstes Produkt,29.62,18.01,9.3,1.85503,0.45
Appenzell Innerrhoden,C4,2011,Günstigstes Produkt,15.25,7.421,7.3786,0.0,0.45
Wallis,H1,2013,Günstigstes Produkt,22.65,10.9,10.2,1.06,0.45
Neuenburg,H5,2012,Günstigstes Produkt,20.619999,9.001039,9.478273,1.9,0.45
Neuenburg,C7,2011,Günstigstes Produkt,15.64,4.745705,8.536308,1.9,0.45
Genf,C7,2011,Günstigstes Produkt,13.95,2.9110117,10.144168,0.45084,0.45
Genf,H5,2011,Günstigstes Produkt,17.35,6.704343,9.154705,1.0452,0.45
Neuenburg,H7,2013,Günstigstes Produkt,18.8,7.6288486,8.815757,1.9,0.45
Neuenburg,H6,2012,Günstigstes Produkt,16.785,6.5841866,8.134108,1.9,0.45
Neuenburg,H3,2012,Günstigstes Produkt,21.63,9.935524,9.3412695,1.9,0.45
Neuenburg,C5,2013,Günstigstes Produkt,15.53,4.854896,8.330194,1.9,0.45
Neuenburg,C1,2012,Günstigstes Produkt,23.69,10.824612,11.365625,1.9,0.45
Freiburg,H3,2012,Günstigstes Produkt,17.92,9.854311,7.6197333,0.0,0.45
Schaffhausen,C3,2012,Günstigstes Produkt,15.63,6.046,9.127883,0.0,0.45
Luzern,H1,2013,Günstigstes Produkt,20.45,9.634271,9.245,1.1327562,0.45
Zürich,H8,2011,Günstigstes Produkt,16.16,7.8031373,7.765543,0.0,0.45
Zürich,H4,2011,Günstigstes Produkt,17.22,8.783989,7.7653713,0.0,0.45
Luzern,C5,2013,Günstigstes Produkt,13.7,5.0752,7.9184666,0.35007,0.45
Appenzell Innerrhoden,C3,2011,Günstigstes Produkt,15.98,7.9393334,7.5851665,0.0,0.45
Appenzell Ausserrhoden,H7,2013,Günstigstes Produkt,14.04,5.9486814,7.6375413,0.0,0.45
Luzern,C7,2011,Günstigstes Produkt,13.01,4.772148,7.428433,0.35775,0.45
Luzern,C6,2012,Günstigstes Produkt,14.03,5.1462,8.2208,0.3557325,0.45
Genf,H1,2012,Günstigstes Produkt,19.01,7.0728574,10.391384,1.10292,0.45
Genf,H1,2013,Günstigstes Produkt,18.34,7.0728574,9.719777,1.10292,0.45
Freiburg,H8,2013,Günstigstes Produkt,18.89,9.451179,8.988361,0.0,0.45
Basel-Landschaft,H5,2013,Günstigstes Produkt,16.06,6.3412,8.886971,0.38,0.45
Freiburg,H3,2011,Günstigstes Produkt,18.78,10.575778,7.7543554,0.0,0.45
Luzern,C5,2012,Günstigstes Produkt,14.01,5.4306335,7.9064665,0.36902374,0.45
Obwalden,C5,2011,Günstigstes Produkt,13.3,5.0817432,7.7715335,0.0,0.45
Freiburg,H4,2013,Günstigstes Produkt,19.71,10.2719555,8.987778,0.0,0.45
Basel-Landschaft,C1,2011,Günstigstes Produkt,20.22,9.43,9.974063,0.37,0.45
Obwalden,C4,2011,Günstigstes Produkt,16.34,8.122573,7.7715335,0.0,0.45
Appenzell Ausserrhoden,C7,2013,Günstigstes Produkt,10.89,2.874699,7.5745144,0.0,0.45
Basel-Landschaft,H7,2013,Günstigstes Produkt,14.77,5.3644342,8.617258,0.34,0.45
Schaffhausen,C4,2013,Günstigstes Produkt,15.73,6.103,9.18097,0.0,0.45
Appenzell Ausserrhoden,H8,2012,Günstigstes Produkt,16.3,8.320119,7.530093,0.0,0.45
Appenzell Ausserrhoden,H4,2012,Günstigstes Produkt,17.47,9.493333,7.53,0.0,0.45
Freiburg,H3,2013,Günstigstes Produkt,17.69,9.536622,7.6997333,0.0,0.45
Appenzell Innerrhoden,C6,2012,Günstigstes Produkt,11.83,3.8210557,7.5550666,0.0,0.45
Uri,H8,2013,Günstigstes Produkt,22.01,11.586667,8.782666,1.1934266,0.45
Basel-Landschaft,H4,2011,Günstigstes Produkt,19.53,8.785905,9.945429,0.34,0.45
Uri,C6,2012,Günstigstes Produkt,15.53,6.9298,7.807,0.34,0.45
Appenzell Innerrhoden,C2,2011,Günstigstes Produkt,17.45,9.3686,7.6324,0.0,0.45
Genf,C1,2012,Günstigstes Produkt,19.96,7.4306664,10.916917,1.15908,0.45
Genf,C1,2013,Günstigstes Produkt,19.24,7.4306664,10.200583,1.15908,0.45
Uri,C5,2011,Günstigstes Produkt,15.94,7.3367,7.7972665,0.35,0.45
Uri,H3,2013,Günstigstes Produkt,20.85,11.154445,8.097777,1.1489078,0.45
Freiburg,H4,2011,Günstigstes Produkt,21.16,11.489667,9.219466,0.0,0.45
Appenzell Ausserrhoden,C5,2012,Günstigstes Produkt,11.87,3.8946,7.534915,0.0,0.45
Freiburg,H8,2011,Günstigstes Produkt,20.34,10.669258,9.219996,0.0,0.45
Appenzell Ausserrhoden,C4,2012,Günstigstes Produkt,13.93,5.953,7.534915,0.0,0.45
Uri,C5,2012,Günstigstes Produkt,15.63,7.0267,7.7972665,0.35,0.45
Neuenburg,C5,2011,Günstigstes Produkt,17.36,5.683825,9.326654,1.65,0.45
Uri,C1,2012,Günstigstes Produkt,22.94,12.41,9.0,1.08,0.45
Neuenburg,C5,2012,Günstigstes Produkt,16.92,5.2403626,9.326654,1.65,0.45
Bern,H7,2012,Günstigstes Produkt,17.32,7.424904,8.368384,1.08,0.45
Jura,H7,2011,Günstigstes Produkt,18.05,8.153308,8.368384,1.08,0.45
Luzern,C6,2011,Günstigstes Produkt,14.49,5.405,8.2208,0.40575,0.45
Aargau,H5,2011,Günstigstes Produkt,15.82,7.4410667,7.527081,0.410132,0.45
Aargau,C2,2011,Günstigstes Produkt,17.1,7.5172,8.73485,0.404832,0.45
Uri,C1,2011,Günstigstes Produkt,23.25,12.72,9.0,1.08,0.45
Bern,H7,2011,Günstigstes Produkt,18.05,8.120015,8.495384,1.08,0.45
Tessin,C3,2013,Günstigstes Produkt,18.68,8.282333,8.2737,1.67,0.45
Zürich,H2,2011,Günstigstes Produkt,19.12,10.687862,7.7444572,0.0,0.45
Appenzell Ausserrhoden,H6,2013,Günstigstes Produkt,13.34,5.13559,7.750207,0.0,0.45
Basel-Landschaft,H3,2013,Günstigstes Produkt,16.73,7.174667,8.693143,0.42,0.45
Freiburg,H5,2012,Günstigstes Produkt,16.99,8.79452,7.74504,0.0,0.45
Aargau,C3,2011,Günstigstes Produkt,17.11,7.751333,8.489917,0.41888,0.45
Tessin,C3,2011,Günstigstes Produkt,21.12,10.153334,8.86,1.66,0.45
Jura,H7,2012,Günstigstes Produkt,17.32,7.424904,8.368384,1.08,0.45
Tessin,C3,2012,Günstigstes Produkt,19.16,8.1866665,8.86,1.66,0.45
Aargau,H5,2013,Günstigstes Produkt,15.93,6.9810667,7.9744477,0.42,0.45
Freiburg,C6,2011,Günstigstes Produkt,13.77,4.37736,8.936504,0.0,0.45
Aargau,C4,2011,Günstigstes Produkt,16.1,7.1632667,8.175,0.4,0.45
Freiburg,H4,2012,Günstigstes Produkt,19.95,10.5242,8.975067,0.0,0.45
Obwalden,C2,2011,Günstigstes Produkt,21.62,12.2128725,8.961361,0.0,0.45
Aargau,H7,2011,Günstigstes Produkt,15.06,6.8248243,7.434758,0.4,0.45
Uri,H4,2012,Günstigstes Produkt,22.64,12.699111,8.394222,1.1,0.45
Basel-Landschaft,H5,2012,Günstigstes Produkt,16.35,6.7278857,8.786971,0.38,0.45
Uri,H4,2011,Günstigstes Produkt,22.95,13.009111,8.394222,1.1,0.45
Appenzell Ausserrhoden,C6,2013,Günstigstes Produkt,11.5,3.2708232,7.7842956,0.0,0.45
Zürich,H1,2011,Günstigstes Produkt,21.85,13.278303,7.7823215,0.0,0.45
Freiburg,H8,2012,Günstigstes Produkt,19.13,9.703412,8.9756565,0.0,0.45
Genf,H2,2012,Günstigstes Produkt,18.73,6.9608,10.2268,1.08576,0.45
Genf,C3,2011,Günstigstes Produkt,19.49,7.023083,10.922703,1.09512,0.45
Genf,H2,2013,Günstigstes Produkt,18.07,6.9608,9.5692,1.08576,0.45
Aargau,H6,2012,Günstigstes Produkt,12.23,4.8554945,6.655117,0.4,0.45
Aargau,C4,2012,Günstigstes Produkt,15.57,6.6132665,8.142567,0.4,0.45
Aargau,H6,2011,Günstigstes Produkt,12.54,5.1654944,6.655117,0.4,0.45
Uri,C2,2013,Günstigstes Produkt,21.17,10.638333,8.979333,1.0957483,0.45
Appenzell Ausserrhoden,C3,2012,Günstigstes Produkt,15.16,6.94,7.771975,0.0,0.45
Tessin,H7,2013,Günstigstes Produkt,18.1,6.3407693,8.441692,2.0,0.45
Wallis,C4,2011,Günstigstes Produkt,17.18,6.4804,9.6051,0.541816,0.45
Luzern,C4,2012,Günstigstes Produkt,16.11,7.2144,7.9064665,0.54108,0.45
Waadt,C5,2013,Günstigstes Produkt,20.63,8.561733,9.621573,2.0,0.45
Freiburg,C7,2013,Günstigstes Produkt,12.32,3.434047,8.43826,0.0,0.45
Appenzell Innerrhoden,H1,2013,Günstigstes Produkt,23.82,14.934107,8.439285,0.0,0.45
Basel-Landschaft,C1,2013,Günstigstes Produkt,23.22,10.118906,12.11,0.54,0.45
Schaffhausen,H8,2012,Günstigstes Produkt,17.61,8.758072,8.402317,0.0,0.45
Obwalden,C3,2011,Günstigstes Produkt,18.46,9.561267,8.449,0.0,0.45
Freiburg,C7,2012,Günstigstes Produkt,12.4,3.5128968,8.439109,0.0,0.45
Tessin,H1,2013,Günstigstes Produkt,24.81,11.71,9.6,2.0,0.45
Zug,H6,2011,Günstigstes Produkt,12.04,4.35012,6.681,0.56,0.45
Genf,C6,2011,Günstigstes Produkt,15.24,3.5597668,10.671576,0.55536,0.45
Zug,C2,2012,Günstigstes Produkt,18.93,8.847278,9.065222,0.56,0.45
Tessin,H2,2013,Günstigstes Produkt,21.97,9.55,9.6,2.0,0.45
Basel-Landschaft,H1,2011,Günstigstes Produkt,28.69,13.788571,13.902054,0.55,0.45
Obwalden,C6,2011,Günstigstes Produkt,13.49,4.70014,8.3414,0.0,0.45
Tessin,H6,2011,Günstigstes Produkt,14.93,6.0116,6.92544,2.0,0.45
Tessin,H4,2013,Günstigstes Produkt,20.48,7.8433332,9.6,2.0,0.45
Tessin,H8,2011,Günstigstes Produkt,18.03,8.183,8.735733,2.0,0.45
Zürich,C5,2012,Günstigstes Produkt,13.04,4.371528,8.2227125,0.0,0.45
Tessin,H7,2012,Günstigstes Produkt,17.48,6.624492,8.079385,2.0,0.45
Luzern,H6,2012,Günstigstes Produkt,12.69,5.0914,6.63976,0.50914,0.45
Basel-Landschaft,H4,2012,Günstigstes Produkt,20.74,9.581952,10.199238,0.51,0.45
Zürich,C6,2012,Günstigstes Produkt,12.69,4.0213466,8.218297,0.0,0.45
Basel-Landschaft,C2,2012,Günstigstes Produkt,22.36,9.48975,11.917334,0.5,0.45
Zürich,C2,2011,Günstigstes Produkt,17.69,8.307928,8.58264,0.0,0.45
St. Gallen,H6,2012,Günstigstes Produkt,13.68,5.9165826,6.781742,0.5,0.45
Luzern,C4,2013,Günstigstes Produkt,15.48,6.7564,7.9184666,0.50673,0.45
Tessin,H5,2013,Günstigstes Produkt,18.79,6.6170135,8.3737335,2.0,0.45
Wallis,H6,2012,Günstigstes Produkt,14.13,5.35112,7.7896,0.535,0.45
Schaffhausen,C7,2013,Günstigstes Produkt,12.62,3.7761629,8.386228,0.0,0.45
Wallis,C6,2013,Günstigstes Produkt,14.03,4.9393334,8.113867,0.533448,0.45
Appenzell Innerrhoden,H2,2013,Günstigstes Produkt,20.81,11.938571,8.418858,0.0,0.45
Appenzell Innerrhoden,H8,2013,Günstigstes Produkt,17.38,8.470119,8.460095,0.0,0.45
Schwyz,C7,2013,Günstigstes Produkt,12.98,4.737428,7.711622,0.53,0.45
Tessin,H7,2011,Günstigstes Produkt,16.5,7.1146154,8.079385,2.0,0.45
Appenzell Innerrhoden,H4,2013,Günstigstes Produkt,18.55,9.643333,8.46,0.0,0.45
Wallis,H6,2013,Günstigstes Produkt,13.94,4.93664,8.01584,0.530768,0.45
Luzern,C4,2011,Günstigstes Produkt,15.96,7.0744,7.9064665,0.53025,0.45
Obwalden,H7,2011,Günstigstes Produkt,17.18,8.785446,7.944115,0.0,0.45
Tessin,H5,2012,Günstigstes Produkt,17.23,7.1038933,7.8714666,2.0,0.45
Zug,C6,2013,Günstigstes Produkt,13.67,4.891,7.7735,0.56,0.45
Tessin,C1,2011,Günstigstes Produkt,20.45,9.8686,9.32,2.0,0.45
Tessin,H2,2011,Günstigstes Produkt,21.33,10.6918,9.32,2.0,0.45
Zug,C2,2013,Günstigstes Produkt,18.68,8.697278,8.965222,0.56,0.45
Zug,H8,2013,Günstigstes Produkt,18.43,7.796489,9.617778,0.56,0.45
Zug,C6,2011,Günstigstes Produkt,14.93,5.5717,8.3524,0.56,0.45
Zug,C5,2013,Günstigstes Produkt,13.97,5.5015,7.45825,0.56,0.45
Schaffhausen,H4,2011,Günstigstes Produkt,19.32,10.117857,8.7485,0.0,0.45
Zug,C7,2013,Günstigstes Produkt,12.44,4.106228,7.318382,0.56,0.45
Tessin,C2,2013,Günstigstes Produkt,20.61,6.91,9.32,2.0,0.45
Zug,H5,2011,Günstigstes Produkt,16.15,6.8704,8.27,0.56,0.45
Zug,H3,2011,Günstigstes Produkt,16.87,7.7424445,8.122222,0.56,0.45
Zug,H3,2012,Günstigstes Produkt,16.16,7.0337777,8.122222,0.56,0.45
Tessin,H5,2011,Günstigstes Produkt,16.67,8.183,7.8714666,2.0,0.45
Tessin,H1,2012,Günstigstes Produkt,24.26,12.5048,9.32,2.0,0.45
Schaffhausen,C2,2011,Günstigstes Produkt,18.28,9.04305,8.785435,0.0,0.45
Zug,H5,2012,Günstigstes Produkt,15.72,6.4408,8.27,0.56,0.45
Tessin,H3,2011,Günstigstes Produkt,17.69,9.019333,7.776889,2.0,0.45
Appenzell Ausserrhoden,C3,2013,Günstigstes Produkt,14.96,6.1406665,8.371975,0.0,0.45
Tessin,H3,2012,Günstigstes Produkt,18.99,8.080711,7.83,2.0,0.45
Tessin,H4,2011,Günstigstes Produkt,19.67,9.019333,9.32,2.0,0.45
Tessin,H1,2011,Günstigstes Produkt,24.28,12.8086,9.32,2.0,0.45
Zug,H3,2013,Günstigstes Produkt,15.91,6.8837776,8.0222225,0.56,0.45
Tessin,C1,2013,Günstigstes Produkt,22.11,8.36,9.32,2.0,0.45
Tessin,H3,2013,Günstigstes Produkt,19.96,7.8433332,8.92,2.0,0.45
Tessin,H2,2012,Günstigstes Produkt,21.83,10.388,9.32,2.0,0.45
Zug,C7,2012,Günstigstes Produkt,13.15,4.256228,7.881622,0.56,0.45
Zug,C1,2013,Günstigstes Produkt,19.36,8.243167,10.114583,0.56,0.45
Tessin,C1,2012,Günstigstes Produkt,21.17,8.400625,9.32,2.0,0.45
Zug,C6,2012,Günstigstes Produkt,14.4,5.041,8.3524,0.56,0.45
Zug,C2,2011,Günstigstes Produkt,19.54,9.460417,9.065222,0.56,0.45
Zug,H7,2013,Günstigstes Produkt,14.83,6.052577,7.772308,0.56,0.45
Tessin,C2,2011,Günstigstes Produkt,19.0,8.383133,9.32,2.0,0.45
Appenzell Ausserrhoden,H2,2013,Günstigstes Produkt,19.62,10.6916,8.479714,0.0,0.45
Tessin,H4,2012,Günstigstes Produkt,20.63,8.715533,9.32,2.0,0.45
Freiburg,H7,2013,Günstigstes Produkt,16.01,7.206977,8.345923,0.0,0.45
Tessin,C2,2012,Günstigstes Produkt,19.85,7.12,9.32,2.0,0.45
Wallis,C5,2012,Günstigstes Produkt,15.6,4.6652,10.009678,0.46652,0.45
Appenzell Ausserrhoden,C1,2013,Günstigstes Produkt,17.74,7.976078,9.309453,0.0,0.45
Luzern,H4,2011,Günstigstes Produkt,22.75,10.302,10.965333,1.03,0.45
Freiburg,H1,2011,Günstigstes Produkt,25.18,15.4025,9.329,0.0,0.45
Schaffhausen,C3,2013,Günstigstes Produkt,16.84,7.058,9.333834,0.0,0.45
Neuenburg,H4,2012,Günstigstes Produkt,23.880001,11.252552,10.706349,1.9,0.45
Uri,H5,2013,Günstigstes Produkt,19.69,10.043333,8.165334,1.0344633,0.45
Basel-Landschaft,H8,2012,Günstigstes Produkt,19.63,8.51625,10.2,0.46,0.45
Genf,H3,2011,Günstigstes Produkt,17.16,6.6173334,9.060445,1.03272,0.45
Neuenburg,H8,2012,Günstigstes Produkt,22.725,10.186723,10.707217,1.9,0.45
Obwalden,C1,2011,Günstigstes Produkt,20.88,11.090867,9.344396,0.0,0.45
Solothurn,H6,2013,Günstigstes Produkt,13.42,4.4990144,7.3560915,1.0,0.45
Basel-Landschaft,C2,2013,Günstigstes Produkt,21.87,8.907416,12.017333,0.49,0.45
Solothurn,H6,2012,Günstigstes Produkt,14.09,4.7506,7.37348,1.0,0.45
Graubünden,H3,2013,Günstigstes Produkt,18.84,9.475715,8.150666,1.0,0.45
Aargau,C1,2011,Günstigstes Produkt,18.59,8.66375,8.778906,0.473625,0.45
Aargau,C1,2013,Günstigstes Produkt,18.41,8.20375,9.2375,0.473625,0.45
Aargau,C1,2012,Günstigstes Produkt,18.494999,8.35375,8.778906,0.473625,0.45
Genf,C4,2011,Günstigstes Produkt,18.54,6.50725,10.5623,1.01556,0.45
Luzern,H6,2013,Günstigstes Produkt,11.77,4.85482,5.97176,0.485482,0.45
Appenzell Innerrhoden,C2,2013,Günstigstes Produkt,17.8,8.1155,9.2324,0.0,0.45
Schaffhausen,H4,2012,Günstigstes Produkt,19.32,9.637857,9.2285,0.0,0.45
Neuenburg,H2,2013,Günstigstes Produkt,25.13,12.12,10.66,1.9,0.45
Freiburg,H2,2011,Günstigstes Produkt,22.85,13.1644,9.23784,0.0,0.45
Neuenburg,H2,2012,Günstigstes Produkt,26.48,12.63,10.9308,1.9,0.45
Neuenburg,C3,2013,Günstigstes Produkt,18.18,7.0084834,8.821461,1.9,0.45
Neuenburg,C6,2012,Günstigstes Produkt,16.79,5.0174165,9.420177,1.9,0.45
Schaffhausen,H3,2011,Günstigstes Produkt,17.56,9.575714,7.5256667,0.0,0.45
Freiburg,C5,2011,Günstigstes Produkt,14.35,4.63528,9.264712,0.0,0.45
Appenzell Innerrhoden,H1,2012,Günstigstes Produkt,24.63,16.684107,7.500149,0.0,0.45
Aargau,H3,2012,Günstigstes Produkt,16.47,8.114445,7.448254,0.45926666,0.45
Neuenburg,C7,2013,Günstigstes Produkt,13.69,3.8899543,7.4479146,1.9,0.45
Schaffhausen,C2,2013,Günstigstes Produkt,20.19,10.3475,9.38781,0.0,0.45
Aargau,H3,2013,Günstigstes Produkt,16.9,7.9644446,7.9060316,0.45926666,0.45
Neuenburg,C4,2013,Günstigstes Produkt,17.04,6.364715,8.330194,1.9,0.45
Neuenburg,H5,2013,Günstigstes Produkt,18.71,7.9289656,8.432939,1.9,0.45
Neuenburg,C1,2013,Günstigstes Produkt,23.47,10.23785,10.880262,1.9,0.45
Neuenburg,H1,2013,Günstigstes Produkt,26.75,13.74,10.66,1.9,0.45
Aargau,H3,2011,Günstigstes Produkt,16.78,8.424444,7.448254,0.45926666,0.45
Freiburg,C2,2012,Günstigstes Produkt,19.02,9.169632,9.398097,0.0,0.45
Zürich,C5,2013,Günstigstes Produkt,12.8,4.157201,8.194231,0.0,0.45
Nidwalden,C7,2011,Günstigstes Produkt,14.95,5.4975047,8.504763,0.5,0.45
Bern,C7,2011,Günstigstes Produkt,13.31,4.1556854,8.163414,0.0,0.45
Schaffhausen,C4,2011,Günstigstes Produkt,14.48,5.84114,8.1925,0.0,0.45
Tessin,H6,2012,Günstigstes Produkt,14.62,5.085168,7.077392,2.0,0.45
Tessin,H6,2013,Günstigstes Produkt,14.89,4.659104,7.462,2.0,0.45
Appenzell Ausserrhoden,H8,2013,Günstigstes Produkt,16.19,7.2161026,8.520093,0.0,0.45
St. Gallen,C3,2012,Günstigstes Produkt,16.33,7.09312,7.8011665,0.5,0.45
Basel-Landschaft,H4,2013,Günstigstes Produkt,20.36,9.107,10.299238,0.5,0.45
Zürich,C6,2013,Günstigstes Produkt,12.44,3.8095677,8.176616,0.0,0.45
Appenzell Innerrhoden,C4,2013,Günstigstes Produkt,15.37,6.761,8.1569,0.0,0.45
St. Gallen,H7,2012,Günstigstes Produkt,14.89,6.8192306,6.902747,0.5,0.45
Nidwalden,C5,2011,Günstigstes Produkt,15.67,6.1991,8.52275,0.5,0.45
Schaffhausen,H6,2013,Günstigstes Produkt,15.69,6.988143,8.246604,0.0,0.45
Schaffhausen,C3,2011,Günstigstes Produkt,15.6,6.5624,8.5880165,0.0,0.45
St. Gallen,C2,2012,Günstigstes Produkt,18.48,8.987117,8.350015,0.5,0.45
Solothurn,C3,2013,Günstigstes Produkt,18.53,7.8775835,9.995277,0.5,0.45
Tessin,H8,2013,Günstigstes Produkt,19.59,7.382507,9.6,2.0,0.45
Tessin,H8,2012,Günstigstes Produkt,19.74,7.8792,9.3,2.0,0.45
Appenzell Innerrhoden,C5,2013,Günstigstes Produkt,12.45,3.842,8.1569,0.0,0.45
Schaffhausen,H5,2013,Günstigstes Produkt,18.36,9.341905,8.573506,0.0,0.45
Appenzell Innerrhoden,C1,2012,Günstigstes Produkt,18.88,10.142813,8.292656,0.0,0.45
Appenzell Innerrhoden,C2,2012,Günstigstes Produkt,17.22,8.5055,8.260217,0.0,0.45
Schaffhausen,H3,2013,Günstigstes Produkt,19.38,10.402063,8.528051,0.0,0.45
Aargau,H4,2011,Günstigstes Produkt,18.02,9.041778,8.032516,0.49630666,0.45
