Kanton,Verbrauchsprofile typischer Haushalte,Periode,Produkt,Total exkl. MWST,Netznutzung,Energielieferungkosten,Abgaben an das Gemeinwesen,Förderabgaben (KEV)
Uri,H5,2019,Standardprodukt,20.43,9.753333,7.3792,1.0,2.3
Solothurn,H6,2022,Standardprodukt,17.73,6.3504,7.5986457,1.0,2.3
Uri,H1,2022,Standardprodukt,28.09,17.46,7.33,1.0,2.3
Uri,H5,2020,Standardprodukt,20.4,9.723333,7.3792,1.0,2.3
Waadt,C4,2020,Standardprodukt,17.6,6.3829,7.6216,1.0,2.3
Uri,H1,2021,Standardprodukt,28.09,17.46,7.33,1.0,2.3
Graubünden,C7,2020,Günstigstes Produkt,18.31,5.5289493,8.5,2.0,2.3
Nidwalden,H2,2023,Standardprodukt,21.8,11.06,7.44,1.0,2.3
Nidwalden,C6,2022,Standardprodukt,13.0,4.2044,5.5,1.0,2.3
Uri,C2,2019,Günstigstes Produkt,21.18,10.508333,7.3676,1.0,2.3
Graubünden,C4,2018,Standardprodukt,19.47,8.556,7.5837665,1.0,2.3
Nidwalden,H4,2019,Standardprodukt,19.13,8.936,6.892,1.0,2.3
Uri,C2,2022,Standardprodukt,21.23,10.558333,7.3676,1.0,2.3
Uri,C2,2021,Standardprodukt,21.23,10.558333,7.3676,1.0,2.3
Nidwalden,C3,2022,Standardprodukt,15.47,6.670889,5.5,1.0,2.3
Nidwalden,C7,2023,Standardprodukt,13.3,4.4992614,5.5,1.0,2.3
Uri,H6,2019,Standardprodukt,17.21,6.944,6.97376,1.0,2.3
Uri,H7,2018,Günstigstes Produkt,18.71,8.475231,6.9336925,1.0,2.3
Solothurn,H4,2018,Günstigstes Produkt,20.82,9.686738,8.284071,1.0,2.3
Uri,C1,2018,Standardprodukt,23.38,11.78875,8.287875,1.0,2.3
Nidwalden,C3,2020,Standardprodukt,16.35,6.150889,6.9,1.0,2.3
Solothurn,H8,2018,Günstigstes Produkt,19.97,8.428544,8.284375,1.0,2.3
Nidwalden,C7,2022,Standardprodukt,12.59,3.7949414,5.5,1.0,2.3
Uri,H5,2022,Günstigstes Produkt,18.81,9.403334,6.1092,1.0,2.3
Uri,H3,2018,Günstigstes Produkt,20.58,10.097777,7.1835556,1.0,2.3
Graubünden,C3,2022,Standardprodukt,20.12,9.42,7.4,1.0,2.3
Uri,C1,2021,Günstigstes Produkt,21.38,11.47875,6.5965,1.0,2.3
Graubünden,H2,2022,Standardprodukt,23.19,12.7628,7.4,1.0,2.3
Graubünden,C5,2021,Günstigstes Produkt,18.24,6.2368,7.7,2.0,2.3
Uri,C1,2022,Günstigstes Produkt,21.38,11.47875,6.5965,1.0,2.3
Uri,H5,2018,Standardprodukt,20.76,9.733334,7.7274666,1.0,2.3
Graubünden,H5,2018,Standardprodukt,19.87,9.22,6.844,1.0,2.3
Graubünden,C3,2021,Standardprodukt,19.9,9.108,7.4,1.0,2.3
Graubünden,C7,2021,Günstigstes Produkt,17.63,5.6289496,7.7,2.0,2.3
Uri,C1,2020,Standardprodukt,22.98,11.77875,7.8965,1.0,2.3
Nidwalden,H5,2020,Standardprodukt,17.35,7.3808,6.669,1.0,2.3
Graubünden,C2,2018,Standardprodukt,20.32,8.996266,7.9413333,1.0,2.3
Solothurn,H5,2022,Standardprodukt,20.45,9.118134,7.9454856,1.0,2.3
Uri,H7,2022,Standardprodukt,18.77,8.8561535,6.6132307,1.0,2.3
Uri,H7,2021,Standardprodukt,18.77,8.8561535,6.6132307,1.0,2.3
Solothurn,H5,2018,Günstigstes Produkt,18.73,7.6170573,7.7213717,1.0,2.3
Waadt,H5,2020,Standardprodukt,18.64,7.251543,7.7205715,1.0,2.3
Graubünden,C6,2019,Günstigstes Produkt,18.03,6.0301332,7.7,2.0,2.3
Nidwalden,C5,2023,Standardprodukt,14.13,5.333133,5.5,1.0,2.3
Solothurn,H7,2018,Günstigstes Produkt,17.96,7.047981,7.511585,1.0,2.3
Nidwalden,C4,2023,Standardprodukt,15.73,6.9283333,5.5,1.0,2.3
Nidwalden,H1,2019,Standardprodukt,24.17,13.991667,6.8835416,1.0,2.3
Graubünden,C7,2019,Günstigstes Produkt,17.61,5.6089497,7.7,2.0,2.3
Uri,C1,2018,Günstigstes Produkt,22.58,11.48875,7.787875,1.0,2.3
Solothurn,H1,2022,Standardprodukt,26.84,15.164687,8.303817,1.0,2.3
Uri,H3,2021,Günstigstes Produkt,19.46,10.087778,6.0686665,1.0,2.3
Nidwalden,C2,2020,Standardprodukt,16.98,6.802489,6.8820276,1.0,2.3
Uri,C1,2019,Standardprodukt,23.01,11.80875,7.8965,1.0,2.3
Nidwalden,C3,2023,Standardprodukt,16.43,7.630889,5.5,1.0,2.3
Uri,H6,2018,Günstigstes Produkt,15.42,6.06724,6.05192,1.0,2.3
Graubünden,H2,2023,Günstigstes Produkt,26.76,11.86,10.6,2.0,2.3
Uri,H4,2018,Günstigstes Produkt,22.74,11.808888,7.6284447,1.0,2.3
Uri,H3,2022,Günstigstes Produkt,19.46,10.087778,6.0686665,1.0,2.3
Nidwalden,H4,2018,Standardprodukt,19.65,9.184,7.172,1.0,2.3
Waadt,C4,2019,Standardprodukt,17.44,6.52298,7.3494,1.0,2.3
Graubünden,H7,2022,Standardprodukt,19.96,8.283077,7.4,1.0,2.3
Uri,C1,2021,Standardprodukt,22.48,11.77875,7.3965,1.0,2.3
Nidwalden,H2,2022,Standardprodukt,21.0,10.26,7.44,1.0,2.3
Nidwalden,H7,2022,Standardprodukt,16.78,7.1961536,6.276923,1.0,2.3
Nidwalden,H5,2018,Standardprodukt,17.85,7.6422,6.9056,1.0,2.3
Nidwalden,H7,2023,Standardprodukt,17.58,7.996154,6.276923,1.0,2.3
Uri,H4,2022,Standardprodukt,22.89,12.332222,7.259333,1.0,2.3
Solothurn,H5,2021,Standardprodukt,19.87,7.9834285,7.549143,1.0,2.3
Uri,H1,2018,Standardprodukt,28.98,17.47,8.205,1.0,2.3
Uri,H7,2018,Standardprodukt,19.57,8.844461,7.4336925,1.0,2.3
Graubünden,C4,2021,Standardprodukt,19.1,7.6154666,7.4,1.0,2.3
Nidwalden,C3,2018,Standardprodukt,16.47,6.2703333,6.9,1.0,2.3
Uri,H2,2018,Günstigstes Produkt,24.55,13.6,7.6504,1.0,2.3
Graubünden,C2,2019,Standardprodukt,19.48,8.818167,7.4,1.0,2.3
Graubünden,C4,2022,Günstigstes Produkt,19.12,8.415466,7.5,1.0,2.3
Uri,H1,2019,Standardprodukt,28.61,17.49,7.82,1.0,2.3
Uri,H1,2020,Günstigstes Produkt,26.58,15.96,7.32,1.0,2.3
